Potrawa;Kalorie;Bia³ka;T³uszcze;Wêglowodany;Wegetarianin;Weganizm
Sztuka miêsa, gotowana;227;30.8;10.4;3.2;0;0
Klopsiki mielone z miêsa mieszanego,duszone;273;13.7;17.5;15.7;0;0
Kotlet mielony z miêsa mieszanego,sma¿ony;286;13.1;21.1;11.7;0;0
Pasztet z miêsa mieszanego, pieczony;362;15.1;31.1;6.5;0;0
Pieczeñ rzymska;209;14.5;11.4;12.5;0;0
Pulpety z miêsa mieszanego, gotowane ;226;18.8;11.1;13.3;0;0
Bigos popularny;121;5.1;9.9;3.8;0;0
Go³¹bki z miêsem i ry¿em w sosie pomidorowym;111;3.6;6.7;10;0;0
Papryka nadziewana miêsem i ry¿em;156;3.9;10.0;13.7;0;0
Risotto z miêsem i warzywami;187;6.6;10;18.3;0;0
Sa³ata zielona z olejem;113;1;11.6;2.1;1;1
Sa³ata zielona ze œmietan¹;42;1.4;2.3;4.5;1;0
Surówka z cykorii i jab³ek;163;1;16.4;3.8;1;1
Surówka z kapusty bia³ej;72;1.6;4.7;7;1;1
Surówka z kapusty kwaszonej;72;0.9;4.7;7.5;1;1
Surówka z kapusty pekiñskiej, jab³ek,papryki z olejem;57;1.1;3.8;5.7;1;1
Surówka z kapusty pekiñskiej z majonezem;98;1.6;8.1;6;1;0
Surówka z marchwi i jab³ek;66;1;0.3;16.6;1;1
Surówka z ogórków i pomidorów;34;1.1;1.8;3.6;1;1
Surówka z owoców;106;0.5;0.3;25.9;1;1
Surówka z owoców i warzyw;149;1.1;14.3;5.1;1;1
Surówka z papryki;93;1;7.5;6.3;1;1
Surówka z pomidorów;16;0.8;0.2;3.2;1;1
Surówka z porów z jab³kami;145;1.7;12.5;7.9;1;1
Surówka z rzodkiewki;95;7.5;5.9;3.5;1;1
Surówka z selerów i jab³ek z olejem;99;1.1;7.5;8.9;1;1
Surówka z selerów, jablek i marchwi;67;0.9;0.4;16.5;1;1
Brukselka, gotowana, z mas³em;119;4.2;7.1;12;1;0
Buraki, gotowane, doprawiane;74;1.6;3.5;10;1;1
Buraki z jab³kami;73;1.5;3.3;10.3;1;1
Buraki, zasma¿ane;86;1.6;5.5;8.6;1;1
Buraki ze œmietan¹;69;1.8;3.4;8.8;1;0
Æwik³a;44;1.6;0.1;10.2;1;1
